excerpt,classification
"Ionic is a front-end framework for developing native-feeling hybrid mobile apps in HTML5 using Sass and AngularJS. By default, it runs on top of Cordova, though you can also choose to use PhoneGap.",0
"Origami is a prototyping tool for designing user interfaces. It was developed by Facebook and released in December 2013. Related questions are about the tool itself and/or its use with Quartz Composer, a visual programming language developed by Apple Inc.",2
"The Apache Jackrabbit™ content repository is a fully conforming implementation of the Content Repository for Java Technology API (JCR, specified in JSR 170 and 283). A content repository is a hierarchical content store with support for structured and unstructured content, full text search, versioning, transactions, observation, and more.",1
"TotallyLazy is a functional library for Java that tries to be as lazy as possible, just like Clojure's collection library ",0
Packer is a tool for creating identical machine images for multiple platforms from a single source configuration. ,2
"Bootstrap is a front-end framework designed to kick-start development of Web apps and sites. For questions related to a version of Bootstrap also use the specific version's tag from ""twitter-bootstrap-2"", ""twitter-bootstrap-3"" and ""twitter-bootstrap-4"" tags.",0
"Elm is a functional programming language for writing web applications that can fully replace, or interoperate with, HTML/CSS/JavaScript. ",0
"OpenStack (http://openstack.org) is a collection of open source projects that enables an open, scalable cloud infrastructure. The core of OpenStack is meant to provide consistent APIs and interfaces to a variety of potential back-ends.",1
"The WCF Web API project allows WCF developers to expose their APIs via HTTP. Under ASP.NET MVC4, WCF Web API has become ASP.NET Web API.",2
AppArmor is a Linux Security Module (LSM) for Linux kernels. It implements Mandatory Access Control to confine programs within their limited set of resources.,1
"RSpec is a behavior-driven development (BDD) framework for the Ruby programming language, inspired by JBehave. It contains its own fully integrated mocking framework based upon JMock. The framework can be considered a domain-specific language (DSL) and resembles a natural language specification. ",2
Linux containers (LXC) is an operating system–level virtualization method for running multiple isolated Linux systems (containers) on a single control host.,1
"Ruby is a multi-platform open-source, dynamic object-oriented interpreted language, created by Yukihiro Matsumoto (Matz) in 1995.",0
"CoreCLR is new .NET Core runtime. It is an execution engine for .NET apps, performing functions such as IL byte code loading, compilation to machine code and garbage collection. ",1
"Flight is a lightweight, component-based JavaScript framework that maps behavior to DOM nodes. Twitter uses it for their web applications.",0
Knockout.js is an open source JavaScript library for dynamic HTML UIs using the Model-View-View Model (MVVM) pattern.,0
"F# is a succinct, expressive and efficient functional and object-oriented language for .NET which helps you write simple code to solve complex problems.",0
"Dropwizard is a Java framework for developing ops-friendly, high-performance, RESTful web services.",0
"Splunk is a tool for collecting, monitoring, visualizing and analyzing machine data from any source. You may receive faster responses at answers.splunk.com which is actively monitored by Splunk employees",2
"Alice is an innovative 3D programming environment that makes it easy to create an animation for telling a story, playing an interactive game, or a video to share on the web.",0
"paas is short for Platform-as-a-service, a category of cloud-centric services.",1
"TLA+ is a language and toolchain for specifications based on TLA, the Temporal Logic of Actions. The TLA Toolbox includes a translator from PlusCal to TLA+, the TLC model checker, and an IDE.",0
"D3.js is a small, open-source JavaScript data visualization library for manipulating HTML, SVG, and CSS documents based on data.",2
"Packetbeat is the Open Source solution for monitoring Distributed Applications. Think of it like a distributed real-time Wireshark with a lot more analytics features. Packetbeat agents sniff the traffic between your application processes, parse on the fly protocols like HTTP, MySQL, Postgresql, Redis or Thrift and correlate the messages into transactions. Tag:#packetbeat TW:Packetbeat St:ASSESS",2
Squid is an open-source HTTP caching proxy server.,2
Robolectric is a unit test framework which allows for test-driven development of Android apps. Tests run inside the JVM on your workstation. ,0
"HTML (Hyper Text Markup Language) is the standard markup language used for structuring web pages and formatting content. HTML describes the structure of a website semantically along with cues for presentation, making it a markup language, rather than a programming language. The most recent revision to the HTML specification is HTML5.",0
"Flyway by Boxfuse is an open-source database migration tool. It strongly favors simplicity and convention over configuration. It is simple, focused and powerful.",2
AppCode is an IDE by JetBrains for building apps for iOS/OSX ,2
"Vagrant is a command line tool for provisioning virtualized environments on top of various providers, including VirtualBox, VMWare and AWS. ",2
An open source Platform-as-a-Service inspired by Heroku and built on CoreOS and Docker.,1
"Windows Internet Explorer 8 is a web browser developed by Microsoft, released on 19 March 2009 for Windows XP, Windows Server 2003, Windows Vista, Windows Server 2008, and Windows 7. ",1
Dagger is a dependency injection library for Java and Android.,0
"An automated acceptance testing framework for Android and iOS. Calabash enables you to write and execute automated acceptance tests of mobile apps. Calabash is cross-platform, supporting Android and iOS native apps.",2
"Java based data integration framework; can be used to transform/map/manipulate data in various formats (CSV,FIXLEN,XML,XBASE,COBOL,LOTUS, etc.); can be used standalone or embedded(as a library). Connects to RDBMS/JMS/SOAP/LDAP/S3/HTTP/FTP/ZIP/TAR.",2
"CoAP is an application protocol designed for constrained devices, designed to easily translate to HTTP.",1
"Go is an open source programming language initially developed at Google. It is a statically-typed language with syntax loosely derived from C, adding automatic memory management, type safety, some dynamic-typing capabilities, additional built-in types such as variable-length arrays and key-value maps, and a large standard library. Tag #go TW:Go language St:ADOPT",0
Atom is an XML based news-feed format,1
"Amazon EC2 stands for ""Amazon Elastic Compute Cloud"". It is a part of Amazon Web Services (AWS) and allows users to rent virtual machine instances by the hour. You can create instances, launch and manage them through a central interface, through a web API or through a console.",1
"Apache Ant (formerly Jakarta Ant) is a declarative, XML-based build tool created originally for Java projects. It provides a rich set of standard tasks for performing most common build operations, such as compiling Java source, building archives and running tests. Ant's functionality can be extended through custom tasks and macros.",2
REST Assured is a Java-based test library for REST services.,2
"Highcharts is a Javascript charting library that uses HTML, SVG, and VML. The editor offers both open source/nonprofit and commercial editions of the product.",2
"The Rackspace Cloud is a set of cloud computing products and services billed on a utility computing basis from the US-based company Rackspace. Offerings include web application hosting or platform as a service (""Cloud Sites""), Cloud Storage (""Cloud Files""), virtual private server (""Cloud Servers""), load balancers, databases, backup, and monitoring. ",1
"Apache Mesos is a cluster manager that provides efficient resource isolation and sharing across distributed applications, or frameworks. ",1
Carthage is a decentralized dependency manager for Cocoa projects.,2
"psake (pronounced *sah-kay*, as in Japanese rice wine) is a build automation tool implemented in Windows PowerShell.",2
An open source distributed Analytical Engine from eBay to provide SQL interface and multi-dimensional analysis (OLAP) on Hadoop to support TB to PB size analysis.,1
"Genymotion is a relatively fast Android emulator which comes with pre-configured Android (x86 with OpenGL hardware acceleration) images, suitable for application testing. The project has evolved from the old BuildDroid project, then AndroVM, and comes with a new player design, installer and more.",2
OpenSocial is a public specification that defines a component hosting environment (container) and a set of common APIs for web-based applications,1
"Related to the browser-sync Node.js module, used to synchronize URLs, interactions and code changes across multiple devices. ",2
Open-Source tool in Java to draw UML Diagrams. ,2
webpack is a module bundler. webpack takes modules with dependencies and generates static assets representing those modules. ,2
"Amazon Web Services (AWS) is a collection of commercial services centered around virtualized, commodity and clustered computing, networking, database and storage, as well as supporting tools that are offered through infrastructure as a service (IaaS).",1
"jQuery Mobile is a touch-optimized web framework for smartphones and tablets. It provides a unified user interface system across all popular mobile device platforms, built on jQuery. ",2
"FIDO Universal 2nd Factor (U2F) a rapidly growing open authentication standard, allows greater user account login security ",1
Apache Maven is a software project management and comprehension tool. This tag is for questions that don't relate to a specific Maven version. Use the gradle tag instead for questions relating to Gradle. ,2
"Haskell is an advanced functional programming language, featuring strong static typing, lazy evaluation, extensive parallelism and concurrency support, and unique abstraction capabilities.",0
React Components that Implement Google's Material Design. http://material-ui.com ,0
TensorFlow is an open source library for machine learning and machine intelligence. It is developed by Google and became open source in Nov. 2015 ,1
"Datomic is a database of flexible, time-based facts, supporting queries and joins, with elastic scalability, and ACID transactions. ",1
"Team Foundation Server is a complete Application Lifecycle Management (ALM) suite, offered by Microsoft.",2
RESTful API Modeling Language (RAML).,2
"Google Wave is a open source, real time collaboration web application provided by Google, extensible by developers via robots and gadgets.",2
"indexedDB provides a way to store data in the browser using Javascript. Unlike relational databases, indexedDB uses a key-value store that is conceptually similar to HTML5's local storage. However, indexedDB is better than local storage for storing large amounts of data and for querying data more quickly. indexedDB is supported in IE, Chrome and Firefox, although support for specific features varies.",2
"Jaspersoft Studio is the free, open source, eclipse-based report designer for JasperReports and JasperReports Server. Create very sophisticated layouts containing charts, images, subreports, crosstabs and much more. Access your data through JDBC, TableModels, JavaBeans, XML, Hibernate, CSV, and custom sources. Then publish your reports as PDF, RTF, XML, XLS, CSV, HTML, XHTML, text, DOCX, or OpenOffice.",2
This refers to tablet personal computers. These are mobile computing devices characterised by touchscreen interfaces.,1
Visual Studio is an integrated development environment (IDE) from Microsoft. Do not use this tag unless you have a specific question about Visual Studio -- not just a coding issue.* ,2
"Firefox is a free, open source and cross-platform web browser created by Mozilla. ",1
"Polly is a .NET 3.5 / 4.0 / 4.5 / PCL (Profile 259) library that allows developers to express transient exception handling policies such as Retry, Retry Forever, Wait and Retry or Circuit Breaker in a fluent manner.",2
DigitalOcean is a cloud-hosting provider for deploying an SSD cloud server.,1
"CloudStack is open source cloud computing software for creating, managing, and deploying infrastructure cloud services. It uses existing hypervisors such as Oracle VM, KVM, vSphere, and XenServer for virtualization. In addition to its own API, CloudStack is also implementing the Amazon EC2 and S3 APIs, as well as the vCloud API. ",1
"SpagoBI is an Open Source Business Intelligence suite covering analytical areas of Business Intelligence projects, like reporting, multidimensional analysis (OLAP), interactive cockpits, data mining, network analysis,... ",2
"Xamarin is a software company, acquired by Microsoft in February 2016, which was created by the engineers behind Mono, Xamarin.iOS (formerly called MonoTouch), Xamarin.Android (formerly called Mono for Android), Xamarin.Mac (and the open source MonoMac) and Xamarin Studio (and the open source MonoDevelop).",2
React is a JavaScript library for building user interfaces. It uses a declarative paradigm and aims to be both efficient and flexible.,0
A Powershell Unit testing framework. ,0
"boot2docker is a lightweight Linux distribution based on Tiny Core Linux made specifically to run Docker containers. It runs completely from RAM, weighs ~27MB and boots in ~5s (YMMV).",2
RubyMotion is a commercial system for building native iOS and Android apps using Ruby. ,0
"Hive is a data warehouse system for Hadoop that facilitates easy data summarization, ad-hoc queries, and the analysis of large datasets stored in Hadoop compatible file systems. Hive provides a mechanism to project structure onto this data and query the data using a SQL-like language called HiveQL. ",0
"Scala is a general purpose programming language principally targeting the Java Virtual Machine. Designed to express common programming patterns in a concise, elegant, and type-safe way, it fuses both imperative and functional programming styles. Its key features are:advanced static type system with type inference; function types; pattern-matching; implicit parameters and conversions; operator overloading; full interoperability with Java; concurrency ",0
Ruby build utility similar to make with build commands defined in pure Ruby.,2
Docker provides a high-level API to containerize unix processes and applications with some degree of isolation and repeatability across servers. ,1
Python is a dynamic and strongly typed programming language designed to emphasize usability. Two similar but incompatible versions of Python are in widespread use (2 and 3). If you have a version-specific Python question consider using the python-2.7 or python-3.x tags in addition to the python tag. ,0
"iBeacons are Bluetooth Low Energy (BLE, also known as Bluetooth Smart) transmitters that notify nearby receivers, such as a smart phone, of their presence for the purposes of proximity sensing. A unique identifier allows the the receiver to take specific action such as displaying a notification message or configuring itself to use a smart device such as a lamp, smart-switch or other sensor. ",1
"NaCl (pronounced ""salt"") is a high-speed software library for network communication, encryption, decryption, signatures, and more. Not to be confused with [google-nativeclient].",2
Presto is an open source distributed SQL query engine for running interactive analytic queries against data sources of all sizes ranging from gigabytes to petabytes.,1
"Vert.x is an event driven application framework that runs on the JVM allowing the development of asynchronous web applications in Java, Javascript, CoffeeScript Ruby, Python, Clojure, Ceylon and Groovy. ",1
"Jekyll is a blog-aware, static site generator written in Ruby.",2
"Cordova (formerly PhoneGap) is an open-source, cross-device mobile development platform that allows developers to create mobile applications using standard web technologies like HTML, JavaScript, and CSS that can be deployed to each device, rather than programming in each device's native language.",1
REST Client for Chrome Browser. Tag:#postman TW:Postman St:TRIAL,2
The OSGi framework is a module system and service platform for the Java programming language that implements a complete and dynamic component model. Tag: osgi TW: OSGi St: HOLD,1
"Apache Pig is a platform for analyzing large data sets that consists of a high-level language for expressing data analysis programs, coupled with infrastructure for evaluating these programs. The salient property of Pig programs is that their structure is amenable to substantial parallelization which enables them to handle very large data sets.Tag:#apache-pig TW:Apache Pig St:TRIAL",2
Espresso is a library which is used to write Android UI tests. Known also as Google's Testing Tools For Android.,2
"Less is an open-source stylesheet preprocessor that extends CSS with dynamic behavior such as variables, mixins, operations and functions. It's also a unix command to display a file. ",0
"Selenium is a popular open-source tool for automating web browsers. When using this tag, also include other tags for the specific components you are using, e.g. selenium-webdriver for the language bindings, selenium-ide, selenium-grid, etc.",2
"An icon font is a font containing glyphs to be used as icons in a web page or application. Use this tag for questions involving fonts used specifically in this way, including various methods and practices for using glyphs as icons or for creating fonts that contain such glyphs. ",2
An HTTP+SPDY+Proguard client for Android and Java applications.,0
Cursive is a plug-in for IntelliJ for writing Clojure and ClojureScript code.,2
